"Species";"EstimateLogit";"Std.errorLogit";"Trend";"Presence";"Total";"Flower_colour";"Flower_shape";"Nectar_qty";"Pct_insect_dep";"Pct_wind_dep";"Pollination"
"Geum urbanum";-0.012;0.008;"Decline";806;1846;"Ye";"d";"little";71.4285714285714;0;"Insect-pollinated"
"Glechoma hederacea";-0.066;0.009;"Decline";604;1276;"B";"l";"abundant";100;0;"Insect-pollinated"
"Gnaphalium uliginosum";-0.021;0.034;"Trendless";34;165;"Ye";"h";"abundant";80;0;"Insect-pollinated"
"Hedera helix";0.024;0.005;"Increase";2555;3644;"Gr";"d";"abundant";100;0;"Insect-pollinated"
"Helianthemum apenninum";-0.042;0.049;"Trendless";34;45;"W";"d";"absence";75;0;"Insect-pollinated"
"Helianthemum italicum";-0.243;0.078;"Decline";32;57;"Ye";"d";NA;85.7142857142857;14.2857142857143;"Insect-pollinated"
"Helianthemum nummularium";0.01;0.033;"Trendless";92;116;"Ye";"d";"absence";75;0;"Insect-pollinated"
"Helichrysum stoechas";0.088;0.046;"Increase";29;61;"Ye";"h";NA;75;0;"Insect-pollinated"
"Helleborus foetidus";0.004;0.038;"Trendless";64;95;"Gr";"b";"abundant";83.3333333333333;0;"Insect-pollinated"
"Helminthotheca echioides";-0.013;0.015;"Trendless";261;776;"Ye";"h";"little";85.7142857142857;0;"Insect-pollinated"
"Heracleum sphondylium";-0.028;0.008;"Decline";665;1624;"W";"h";"very abundant";100;0;"Insect-pollinated"
"Hieracium murorum";-0.275;0.036;"Decline";81;183;"Ye";"h";NA;66.6666666666667;0;"Insect-pollinated"
"Hippocrepis comosa";0.086;0.032;"Increase";85;139;"Ye";"fl";"abundant";100;0;"Insect-pollinated"
"Holcus lanatus";0.002;0.007;"Trendless";976;1917;"VPR";"br";"absence";0;85.7142857142857;"Wind-pollinated"
"Holcus mollis";0.022;0.013;"Increase";218;589;"W";"br";"absence";0;100;"Wind-pollinated"
"Hordeum murinum";-0.1;0.018;"Decline";214;459;"Gr";"br";"absence";0;75;"Wind-pollinated"
"Humulus lupulus";-0.042;0.026;"Decline";88;216;"Gr";"b";"absence";0;100;"Wind-pollinated"
"Hyacinthoides non-scripta";-0.015;0.015;"Trendless";151;326;"B";"b";"abundant";100;0;"Insect-pollinated"
"Hypericum humifusum";-0.084;0.039;"Decline";46;215;"Ye";"d";"absence";71.4285714285714;0;"Insect-pollinated"
"Hypericum maculatum";-0.052;0.049;"Decline";20;92;"Ye";"d";"absence";66.6666666666667;0;"Insect-pollinated"
"Hypericum perfoliatum";0.121;0.042;"Increase";24;139;"Ye";"d";NA;50;0;"Insect-pollinated"
"Hypericum perforatum";-0.049;0.01;"Decline";475;1299;"Ye";"d";"absence";62.5;0;"Insect-pollinated"
"Hypericum pulchrum";0.065;0.039;"Increase";58;223;"Ye";"d";"absence";66.6666666666667;0;"Insect-pollinated"
"Hypochaeris glabra";0.074;0.035;"Increase";39;116;"Ye";"h";"abundant";100;0;"Insect-pollinated"
"Hypochaeris radicata";0.052;0.01;"Increase";498;1230;"Ye";"h";"abundant";100;0;"Insect-pollinated"
"Ilex aquifolium";0.011;0.013;"Trendless";323;610;"W";"d";"little";100;0;"Insect-pollinated"
"Iris pseudacorus";-0.184;0.051;"Decline";44;108;"Ye";"d";"abundant";100;0;"Insect-pollinated"
"Jacobaea erucifolia";0.011;0.026;"Trendless";62;218;"Ye";"h";"little";100;0;"Insect-pollinated"
"Jacobaea vulgaris";-0.116;0.014;"Decline";261;913;"Ye";"h";"little";100;0;"Insect-pollinated"
"Juglans regia";-0.013;0.032;"Trendless";78;403;"Gr";"t";NA;0;100;"Wind-pollinated"
"Juncus acutiflorus";0.006;0.033;"Trendless";42;78;"VPR";"br";"absence";0;100;"Wind-pollinated"
"Juncus bufonius";-0.006;0.023;"Trendless";63;309;"W";"br";"absence";0;71.4285714285714;"Wind-pollinated"
"Juncus conglomeratus";0.074;0.028;"Increase";59;190;"VPR";"br";"absence";33.3333333333333;58.3333333333333;"Wind-pollinated"
"Juncus effusus";0.141;0.022;"Increase";142;370;"VPR";"br";"absence";30;50;"Wind-pollinated"
"Juncus inflexus";0.181;0.064;"Increase";20;85;"VPR";"br";"absence";0;100;"Wind-pollinated"
"Juncus tenuis";-0.012;0.04;"Trendless";20;133;"VPR";"br";"absence";0;87.5;"Wind-pollinated"
"Kickxia elatine";-0.006;0.016;"Trendless";126;750;"Ye";"l";NA;50;0;"Insect-pollinated"
"Kickxia spuria";-0.094;0.022;"Decline";64;422;"Ye";"l";"abundant";28.5714285714286;0;"Other"
"Knautia arvensis";-0.06;0.026;"Decline";106;258;"B";"f";"abundant";83.3333333333333;0;"Insect-pollinated"
"Lactuca muralis";-0.085;0.022;"Decline";91;278;"Ye";"h";"little";75;0;"Insect-pollinated"
"Lactuca sativa";0.115;0.048;"Increase";19;92;"Ye";"h";NA;0;0;"Other"
"Lactuca serriola";0.053;0.014;"Increase";236;1173;"Ye";"h";NA;33.3333333333333;0;"Other"
"Lactuca virosa";-0.204;0.064;"Decline";29;111;"Ye";"h";NA;100;0;"Insect-pollinated"
"Lamium album";-0.042;0.022;"Decline";96;254;"W";"l";"very abundant";80;0;"Insect-pollinated"
"Lamium amplexicaule";-0.111;0.062;"Decline";22;96;"VPR";"l";"abundant";62.5;0;"Insect-pollinated"
"Lamium galeobdolon";0.223;0.026;"Increase";136;248;"Ye";"l";"little";70.5882352941177;0;"Insect-pollinated"
"Lamium purpureum";-0.087;0.028;"Decline";81;307;"VPR";"l";"abundant";85.7142857142857;0;"Insect-pollinated"
"Lapsana communis";0.03;0.01;"Increase";446;1530;"Ye";"h";"little";71.4285714285714;0;"Insect-pollinated"
"Lathyrus aphaca";-0.117;0.037;"Decline";48;95;"Ye";"fl";"abundant";71.4285714285714;0;"Insect-pollinated"
"Lathyrus pratensis";0.044;0.025;"Increase";167;313;"Ye";"fl";"abundant";83.3333333333333;0;"Insect-pollinated"
"Laurus nobilis";0.043;0.032;"Increase";47;106;"Gr";"br";NA;100;0;"Insect-pollinated"
"Lavandula angustifolia";-0.049;0.061;"Trendless";26;49;"B";"l";"very abundant";75;0;"Insect-pollinated"
"Leontodon hispidus";-0.031;0.035;"Trendless";56;113;"Ye";"h";"abundant";83.3333333333333;0;"Insect-pollinated"
"Lepidium squamatum";-0.066;0.032;"Decline";33;259;"W";"d";"very abundant";0;0;"Other"
"Leucanthemum vulgare";0.046;0.016;"Increase";244;461;"W";"h";"abundant";50;0;"Insect-pollinated"
"Ligustrum vulgare";0.016;0.008;"Increase";579;989;"W";"dt";"abundant";83.3333333333333;0;"Insect-pollinated"
"Linaria repens";-0.147;0.058;"Decline";33;81;"W";"l";"abundant";100;0;"Insect-pollinated"
"Linaria vulgaris";-0.012;0.03;"Trendless";51;170;"Ye";"l";"abundant";100;0;"Insect-pollinated"
"Linum catharticum";0.009;0.062;"Trendless";23;68;"W";"d";"abundant";57.1428571428571;0;"Insect-pollinated"
"Linum strictum";0.419;0.086;"Increase";23;49;"Ye";"d";NA;100;0;"Insect-pollinated"
"Linum usitatissimum";-0.051;0.039;"Decline";37;100;"B";"d";"little";66.6666666666667;0;"Insect-pollinated"
"Lipandra polysperma";0.017;0.03;"Trendless";32;186;"VPR";"d";"absence";33.3333333333333;66.6666666666667;"Wind-pollinated"
"Lolium multiflorum";0.084;0.007;"Increase";339;1859;"Gr";"br";"absence";0;100;"Wind-pollinated"
"Lolium perenne";0.054;0.004;"Increase";2162;4549;"Gr";"br";"absence";0;100;"Wind-pollinated"
"Lolium rigidum";-0.051;0.079;"Trendless";24;68;"Gr";"br";"absence";0;100;"Wind-pollinated"
"Loncomelos pyrenaicus";0.155;0.06;"Increase";23;83;"W";"b";NA;83.3333333333333;0;"Insect-pollinated"
"Lonicera etrusca";0.02;0.038;"Trendless";66;103;"W";"l";NA;100;0;"Insect-pollinated"
"Lonicera implexa";-0.091;0.04;"Decline";70;139;"Ye";"l";"very abundant";100;0;"Insect-pollinated"
"Lonicera periclymenum";0.022;0.008;"Increase";748;1341;"W";"l";"abundant";66.6666666666667;0;"Insect-pollinated"
"Lonicera xylosteum";-0.058;0.024;"Decline";129;243;"W";"l";"little";62.5;0;"Insect-pollinated"
"Lotus corniculatus";-0.033;0.012;"Decline";553;1066;"Ye";"fl";"abundant";100;0;"Insect-pollinated"
"Lotus dorycnium";0.107;0.032;"Increase";126;171;"W";"fl";NA;100;0;"Insect-pollinated"
"Lotus pedunculatus";0.124;0.034;"Increase";61;189;"Ye";"fl";"abundant";100;0;"Insect-pollinated"
"Luzula campestris";-0.032;0.048;"Trendless";39;107;"VPR";"br";"absence";14.2857142857143;71.4285714285714;"Wind-pollinated"
"Luzula forsteri";-0.012;0.032;"Trendless";44;211;"VPR";"br";"absence";0;100;"Wind-pollinated"
"Luzula multiflora";0.068;0.051;"Increase";23;104;"VPR";"br";"absence";20;80;"Wind-pollinated"
"Luzula pilosa";-0.04;0.038;"Decline";40;97;"VPR";"br";"absence";0;83.3333333333333;"Wind-pollinated"
"Luzula sylvatica";0.014;0.038;"Trendless";61;118;"VPR";"br";"absence";0;100;"Wind-pollinated"
"Lychnis flos-cuculi";0.103;0.069;"Increase";21;37;"VPR";"dt";"little";66.6666666666667;0;"Insect-pollinated"
"Lycopsis arvensis";0.091;0.032;"Increase";30;187;"B";"dt";NA;80;0;"Insect-pollinated"
"Lycopus europaeus";-0.109;0.044;"Decline";27;97;"W";"l";"abundant";100;0;"Insect-pollinated"
"Lysimachia arvensis";-0.066;0.007;"Decline";763;2834;"VPR";"d";"absence";62.5;0;"Insect-pollinated"
"Lysimachia foemina";0.011;0.025;"Trendless";39;223;"B";"d";NA;60;0;"Insect-pollinated"
"Lysimachia nemorum";-0.03;0.041;"Trendless";41;66;"Ye";"d";"absence";100;0;"Insect-pollinated"
"Lysimachia nummularia";-0.087;0.027;"Decline";81;204;"Ye";"d";"absence";80;0;"Insect-pollinated"
"Lysimachia vulgaris";0.151;0.052;"Increase";31;108;"Ye";"d";"absence";80;0;"Insect-pollinated"
"Lythrum salicaria";0.025;0.032;"Trendless";72;167;"VPR";"d";"abundant";83.3333333333333;0;"Insect-pollinated"
"Malus sylvestris";0.158;0.041;"Increase";34;183;"W";"d";"abundant";100;0;"Insect-pollinated"
"Malva moschata";0.088;0.078;"Increase";22;57;"VPR";"d";"abundant";80;0;"Insect-pollinated"
"Malva neglecta";0.124;0.046;"Increase";32;147;"VPR";"d";"abundant";71.4285714285714;0;"Insect-pollinated"
"Malva sylvestris";0.064;0.033;"Increase";97;204;"VPR";"d";"abundant";85.7142857142857;0;"Insect-pollinated"
"Matricaria chamomilla";-0.016;0.009;"Decline";265;1223;"W";"h";NA;100;0;"Insect-pollinated"
"Matricaria discoidea";0.014;0.021;"Trendless";75;374;"Gr";"h";"abundant";85.7142857142857;0;"Insect-pollinated"
"Medicago arabica";-0.068;0.036;"Decline";72;246;"Ye";"fl";"abundant";71.4285714285714;0;"Insect-pollinated"
"Medicago lupulina";0.003;0.009;"Trendless";662;1542;"Ye";"fl";"abundant";62.5;0;"Insect-pollinated"
"Medicago minima";-0.017;0.021;"Trendless";131;325;"Ye";"fl";"abundant";80;0;"Insect-pollinated"
"Medicago orbicularis";-0.043;0.058;"Trendless";29;83;"Ye";"fl";"little";100;0;"Insect-pollinated"
"Medicago polymorpha";0.085;0.03;"Increase";61;213;"Ye";"fl";"abundant";45.4545454545455;0;"Other"
"Medicago sativa";0.066;0.015;"Increase";204;631;"VPR";"fl";"abundant";80;0;"Insect-pollinated"
"Melampyrum pratense";-0.101;0.029;"Decline";70;105;"Ye";"l";"very abundant";71.4285714285714;0;"Insect-pollinated"
"Melica uniflora";0.073;0.013;"Increase";194;358;"VPR";"br";"absence";0;100;"Wind-pollinated"
"Melilotus albus";-0.015;0.023;"Trendless";57;179;"W";"fl";"little";66.6666666666667;0;"Insect-pollinated"
"Melilotus officinalis";0.102;0.041;"Increase";29;108;"Ye";"fl";"abundant";75;0;"Insect-pollinated"
"Melittis melissophyllum";0.046;0.034;"Increase";49;99;"VPR";"l";"very abundant";85.7142857142857;0;"Insect-pollinated"
"Mentha aquatica";-0.01;0.027;"Trendless";56;146;"VPR";"l";"abundant";100;0;"Insect-pollinated"
"Mentha arvensis";0.1;0.064;"Increase";26;60;"VPR";"l";"very abundant";100;0;"Insect-pollinated"
"Mentha suaveolens";-0.018;0.032;"Trendless";65;140;"VPR";"l";"abundant";83.3333333333333;0;"Insect-pollinated"
"Mercurialis annua";-0.043;0.012;"Decline";230;914;"Gr";"d";"absence";16.6666666666667;66.6666666666667;"Wind-pollinated"
"Mercurialis perennis";-0.061;0.015;"Decline";215;448;"Gr";"d";"abundant";42.8571428571429;42.8571428571429;"Other"
"Milium effusum";0.084;0.029;"Increase";83;190;"Gr";"br";"absence";0;80;"Wind-pollinated"
"Moehringia trinervia";0.003;0.014;"Trendless";159;591;"W";"d";"abundant";66.6666666666667;0;"Insect-pollinated"
"Molinia caerulea";0.029;0.017;"Increase";265;422;"B";"br";"absence";0;100;"Wind-pollinated"
"Muscari comosum";-0.05;0.041;"Decline";46;147;"B";"b";"abundant";100;0;"Insect-pollinated"
"Muscari neglectum";-0.031;0.068;"Trendless";17;41;"B";"b";"little";100;0;"Insect-pollinated"
"Myosotis arvensis";-0.007;0.012;"Trendless";245;941;"B";"dt";"abundant";66.6666666666667;0;"Insect-pollinated"
"Myosotis ramosissima";-0.14;0.052;"Decline";23;107;"B";"dt";"abundant";57.1428571428571;0;"Insect-pollinated"
"Myosotis scorpioides";-0.032;0.041;"Trendless";28;112;"B";"dt";"abundant";100;0;"Insect-pollinated"
"Neottia ovata";-0.138;0.078;"Decline";24;75;"Gr";"l";"little";87.5;0;"Insect-pollinated"
"Onobrychis viciifolia";0.069;0.033;"Increase";46;82;"VPR";"fl";"abundant";80;0;"Insect-pollinated"
"Ononis minutissima";0.164;0.033;"Increase";81;129;"Ye";"fl";NA;100;0;"Insect-pollinated"
"Ononis spinosa";-0.145;0.051;"Decline";47;91;"VPR";"fl";"absence";100;0;"Insect-pollinated"
"Ophrys apifera";0.018;0.065;"Trendless";25;69;"VPR";"l";"little";42.8571428571429;0;"Other"
"Origanum vulgare";0.071;0.015;"Increase";225;427;"VPR";"l";"abundant";80;0;"Insect-pollinated"
"Oxalis acetosella";-0.171;0.026;"Decline";117;170;"W";"d";"little";44.4444444444444;0;"Other"
"Oxalis corniculata";-0.056;0.042;"Decline";55;137;"Ye";"d";NA;25;0;"Other"
"Papaver dubium";-0.123;0.055;"Decline";20;133;"VPR";"d";"absence";55.5555555555556;0;"Insect-pollinated"
"Papaver rhoeas";0.016;0.008;"Increase";466;1705;"VPR";"d";"little";100;0;"Insect-pollinated"
"Parietaria judaica";0.241;0.047;"Increase";43;121;"Gr";"d";"absence";20;80;"Wind-pollinated"
"Paris quadrifolia";0.005;0.043;"Trendless";41;53;"Gr";"d";"absence";57.1428571428571;14.2857142857143;"Insect-pollinated"
"Pastinaca sativa";0.021;0.015;"Increase";166;541;"Ye";"h";"abundant";100;0;"Insect-pollinated"
"Persicaria amphibia";-0.18;0.056;"Decline";22;80;"VPR";"b";"little";100;0;"Insect-pollinated"
"Persicaria hydropiper";-0.435;0.063;"Decline";18;63;"Gr";"b";"absence";0;0;"Other"
"Persicaria lapathifolia";-0.042;0.038;"Decline";28;159;"VPR";"b";NA;71.4285714285714;0;"Insect-pollinated"
"Persicaria maculosa";0.028;0.01;"Increase";307;1267;"VPR";"b";"little";80;0;"Insect-pollinated"
"Petrorhagia prolifera";0.348;0.12;"Increase";14;38;"VPR";"d";"little";71.4285714285714;0;"Insect-pollinated"
"Phalaris arundinacea";-0.08;0.023;"Decline";87;215;"B";"br";"absence";0;80;"Wind-pollinated"
"Phillyrea angustifolia";0.033;0.021;"Increase";172;290;"W";"t";NA;100;0;"Insect-pollinated"
"Phleum nodosum";-0.136;0.067;"Decline";13;55;"Gr";"br";"absence";0;100;"Wind-pollinated"
"Phleum pratense";0.073;0.017;"Increase";196;582;"Gr";"br";"absence";33.3333333333333;55.5555555555556;"Wind-pollinated"
"Phragmites australis";-0.12;0.036;"Decline";92;137;"B";"br";"absence";0;100;"Wind-pollinated"
"Phyteuma spicatum";-0.13;0.052;"Decline";34;48;"B";"d";NA;66.6666666666667;0;"Insect-pollinated"
"Picris hieracioides";-0.046;0.008;"Decline";692;1971;"Ye";"h";"abundant";71.4285714285714;0;"Insect-pollinated"
"Pilosella officinarum";0.011;0.023;"Trendless";184;333;"Ye";"h";NA;87.5;0;"Insect-pollinated"
"Pimpinella major";-0.155;0.063;"Decline";20;85;"VPR";"h";"abundant";100;0;"Insect-pollinated"
"Pimpinella saxifraga";-0.054;0.042;"Decline";50;107;"W";"h";NA;100;0;"Insect-pollinated"
"Pistacia lentiscus";-0.036;0.04;"Trendless";59;134;"VPR";"d";NA;0;50;"Wind-pollinated"
"Plantago coronopus";0.022;0.021;"Increase";125;338;"W";"br";"absence";0;100;"Wind-pollinated"
"Plantago lanceolata";0.011;0.006;"Increase";1711;3062;"W";"br";"absence";28.5714285714286;71.4285714285714;"Wind-pollinated"
"Plantago major";-0.056;0.008;"Decline";750;2108;"Gr";"br";"absence";0;83.3333333333333;"Wind-pollinated"
"Plantago maritima";-0.021;0.07;"Trendless";14;38;"W";"br";"absence";20;80;"Wind-pollinated"
"Plantago media";-0.012;0.032;"Trendless";125;216;"W";"br";"absence";57.1428571428571;42.8571428571429;"Insect-pollinated"
"Poa annua";-0.024;0.007;"Decline";782;2050;"Gr";"br";"absence";0;66.6666666666667;"Wind-pollinated"
"Poa bulbosa";-0.097;0.044;"Decline";39;95;"Gr";"br";"absence";0;100;"Wind-pollinated"
"Poa nemoralis";0.06;0.01;"Increase";325;857;"Gr";"br";"absence";0;100;"Wind-pollinated"
"Poa pratensis";-0.027;0.008;"Decline";560;1690;"Gr";"br";"absence";0;83.3333333333333;"Wind-pollinated"
"Poa trivialis";-0.032;0.007;"Decline";709;2185;"Gr";"br";"absence";0;100;"Wind-pollinated"
"Polygala vulgaris";-0.047;0.033;"Decline";80;150;"B";"d";"abundant";66.6666666666667;0;"Insect-pollinated"
"Polygonatum multiflorum";-0.034;0.014;"Decline";275;583;"W";"b";"little";75;0;"Insect-pollinated"
"Polygonatum odoratum";-0.009;0.037;"Trendless";33;150;"W";"b";"abundant";55.5555555555556;0;"Insect-pollinated"
"Polygonum aviculare";-0.028;0.006;"Decline";1101;3318;"VPR";"dt";"absence";28.5714285714286;0;"Other"
"Populus alba";0.074;0.048;"Increase";33;88;"Gr";"d";"absence";0;100;"Wind-pollinated"
"Populus nigra";0.116;0.041;"Increase";26;95;"Gr";"d";"absence";0;100;"Wind-pollinated"
"Populus tremula";0.11;0.022;"Increase";125;351;"Gr";"d";"absence";0;100;"Wind-pollinated"
"Portulaca oleracea";-0.003;0.028;"Trendless";91;211;"Ye";"d";"absence";36.3636363636364;27.2727272727273;"Other"
"Potentilla erecta";-0.021;0.025;"Trendless";173;292;"Ye";"d";"abundant";100;0;"Insect-pollinated"
"Potentilla indica";-0.029;0.023;"Decline";49;102;"Ye";"d";NA;66.6666666666667;0;"Insect-pollinated"
"Potentilla recta";0.078;0.058;"Increase";18;86;"Ye";"d";NA;75;0;"Insect-pollinated"
"Potentilla reptans";0.065;0.009;"Increase";679;1230;"Ye";"d";"abundant";100;0;"Insect-pollinated"
"Potentilla sterilis";0.022;0.022;"Trendless";96;241;"W";"d";"little";66.6666666666667;0;"Insect-pollinated"
"Potentilla verna";0.045;0.043;"Increase";55;112;"Ye";"d";NA;100;0;"Insect-pollinated"
"Poterium sanguisorba";-0.031;0.015;"Decline";347;584;"VPR";"d";NA;0;87.5;"Wind-pollinated"
"Prenanthes purpurea";-0.177;0.074;"Decline";22;33;"VPR";"h";"little";100;0;"Insect-pollinated"
"Primula elatior";0.069;0.056;"Increase";15;44;"Ye";"dt";"abundant";80;0;"Insect-pollinated"
"Primula veris";0.078;0.023;"Increase";144;325;"Ye";"dt";"abundant";100;0;"Insect-pollinated"
"Primula vulgaris";-0.138;0.051;"Decline";23;117;"Ye";"dt";"abundant";75;0;"Insect-pollinated"
"Prunella vulgaris";0.043;0.013;"Increase";369;886;"B";"l";"abundant";66.6666666666667;0;"Insect-pollinated"
"Prunus avium";-0.053;0.014;"Decline";317;1055;"W";"d";"very abundant";85.7142857142857;0;"Insect-pollinated"
"Prunus domestica";0.183;0.083;"Increase";23;94;"W";"d";"very abundant";85.7142857142857;0;"Insect-pollinated"
"Prunus laurocerasus";0.008;0.049;"Trendless";30;131;"W";"d";NA;100;0;"Insect-pollinated"
"Prunus mahaleb";-0.014;0.031;"Trendless";52;248;"W";"d";"abundant";100;0;"Insect-pollinated"
"Prunus spinosa";0.041;0.008;"Increase";725;1509;"W";"d";"abundant";83.3333333333333;0;"Insect-pollinated"
"Pulicaria dysenterica";0.085;0.037;"Increase";53;106;"Ye";"h";"little";83.3333333333333;0;"Insect-pollinated"
"Pulicaria odora";-0.034;0.045;"Trendless";82;120;"Ye";"h";NA;66.6666666666667;0;"Insect-pollinated"
"Quercus coccifera";-0.101;0.029;"Decline";140;150;"Ye";"br";NA;0;100;"Wind-pollinated"
"Quercus ilex";-0.041;0.016;"Decline";345;489;"Gr";"br";NA;0;75;"Wind-pollinated"
"Quercus petraea";-0.128;0.01;"Decline";372;1220;"Gr";"br";"absence";0;100;"Wind-pollinated"
"Quercus pubescens";0.005;0.016;"Trendless";322;543;"Gr";"br";"absence";0;75;"Wind-pollinated"
"Quercus robur";0.111;0.006;"Increase";1337;2796;"Gr";"br";"absence";0;100;"Wind-pollinated"
"Quercus rubra";0.096;0.044;"Increase";39;100;"Gr";"br";"absence";0;100;"Wind-pollinated"
"Ranunculus acris";0.025;0.013;"Increase";488;987;"Ye";"d";"abundant";100;0;"Insect-pollinated"
"Ranunculus bulbosus";-0.023;0.017;"Decline";216;494;"Ye";"d";"abundant";100;0;"Insect-pollinated"
"Ranunculus flammula";-0.002;0.045;"Trendless";33;133;"Ye";"d";"abundant";66.6666666666667;0;"Insect-pollinated"
"Ranunculus repens";-0.051;0.009;"Decline";624;1395;"Ye";"d";"abundant";80;0;"Insect-pollinated"
"Ranunculus sardous";0.024;0.04;"Trendless";42;146;"Ye";"d";"abundant";80;0;"Insect-pollinated"
"Ranunculus serpens";0.004;0.049;"Trendless";28;55;"Ye";"d";NA;100;0;"Insect-pollinated"
"Raphanus raphanistrum";0.102;0.079;"Increase";21;82;"W";"d";"abundant";90;0;"Insect-pollinated"
"Reichardia picroides";0.011;0.05;"Trendless";38;97;"Ye";"h";NA;100;0;"Insect-pollinated"
"Reseda lutea";-0.056;0.047;"Decline";28;153;"Ye";"d";"abundant";71.4285714285714;0;"Insect-pollinated"
"Rhamnus alaternus";0.023;0.032;"Trendless";86;178;"Ye";"d";NA;50;0;"Insect-pollinated"
"Rhamnus cathartica";-0.002;0.042;"Trendless";32;135;"Gr";"d";"abundant";100;0;"Insect-pollinated"
"Rhinanthus alectorolophus";-0.076;0.057;"Decline";20;37;"Ye";"l";"abundant";66.6666666666667;0;"Insect-pollinated"
"Rhinanthus minor";0.162;0.059;"Increase";24;68;"Ye";"l";"little";66.6666666666667;0;"Insect-pollinated"
"Ribes rubrum";0.017;0.023;"Trendless";81;202;"Gr";"d";"very abundant";83.3333333333333;0;"Insect-pollinated"
"Robinia pseudoacacia";-0.007;0.018;"Trendless";195;382;"W";"fl";"abundant";100;0;"Insect-pollinated"
"Rosa agrestis";0.282;0.041;"Increase";32;148;"VPR";"d";"absence";83.3333333333333;0;"Insect-pollinated"
"Rosa arvensis";-0.01;0.018;"Trendless";156;546;"W";"d";"absence";66.6666666666667;0;"Insect-pollinated"
"Rosa canina";-0.008;0.015;"Trendless";271;804;"VPR";"d";"absence";53.8461538461538;0;"Insect-pollinated"
"Rosmarinus officinalis";0.084;0.032;"Increase";131;140;"B";"l";"very abundant";100;0;"Insect-pollinated"
"Rubia peregrina";0.032;0.011;"Increase";602;786;"Gr";"d";NA;100;0;"Insect-pollinated"
"Rubus";0.047;0.004;"Increase";2063;3465;"W";"d";"very abundant";80;0;"Insect-pollinated"
"Rumex acetosa";0.024;0.011;"Increase";509;1133;"Gr";"d";"absence";28.5714285714286;71.4285714285714;"Wind-pollinated"
"Rumex acetosella";-0.082;0.019;"Decline";162;472;"Gr";"d";"absence";0;100;"Wind-pollinated"
"Rumex conglomeratus";0.018;0.02;"Trendless";103;589;"Gr";"d";"absence";0;80;"Wind-pollinated"
"Rumex crispus";0.028;0.017;"Increase";240;942;"Gr";"d";"absence";0;100;"Wind-pollinated"
"Rumex longifolius";-0.306;0.104;"Decline";27;45;"VPR";"d";"absence";0;100;"Wind-pollinated"
"Rumex obtusifolius";-0.062;0.014;"Decline";287;1052;"Gr";"d";"absence";0;100;"Wind-pollinated"
"Rumex pulcher";-0.118;0.073;"Decline";33;78;"Gr";"d";"absence";0;83.3333333333333;"Wind-pollinated"
"Rumex sanguineus";0.009;0.035;"Trendless";58;199;"Gr";"d";"absence";0;100;"Wind-pollinated"
"Ruscus aculeatus";0.046;0.018;"Increase";249;405;"Gr";"b";NA;100;0;"Insect-pollinated"
"Sagina apetala";0.092;0.018;"Increase";104;287;"W";"d";"abundant";77.7777777777778;0;"Insect-pollinated"
"Sagina procumbens";0.098;0.027;"Increase";48;122;"W";"d";"abundant";20;0;"Other"
"Salix atrocinerea";0.026;0.037;"Trendless";50;126;"Gr";"br";NA;0;100;"Wind-pollinated"
"Salix caprea";0.016;0.037;"Trendless";52;190;"Gr";"br";"very abundant";50;50;"Insect-pollinated"
"Salix cinerea";0.024;0.075;"Trendless";18;55;"Gr";"br";"little";71.4285714285714;28.5714285714286;"Insect-pollinated"
"Salvia pratensis";0.048;0.048;"Trendless";54;87;"B";"l";"abundant";66.6666666666667;0;"Insect-pollinated"
"Sambucus nigra";-0.09;0.018;"Decline";189;498;"W";"d";"abundant";83.3333333333333;0;"Insect-pollinated"
"Scabiosa columbaria";-0.009;0.055;"Trendless";29;60;"B";"l";NA;100;0;"Insect-pollinated"
"Scandix pecten-veneris";0.183;0.056;"Increase";32;66;"W";"h";NA;75;0;"Insect-pollinated"
"Schedonorus arundinaceus";0.001;0.011;"Trendless";225;734;"Gr";"br";"absence";0;100;"Wind-pollinated"
"Schedonorus giganteus";-0.15;0.049;"Decline";27;137;"Gr";"br";"absence";0;100;"Wind-pollinated"
"Schedonorus pratensis";-0.057;0.02;"Decline";144;448;"Gr";"br";"absence";0;100;"Wind-pollinated"
"Scorzoneroides autumnalis";-0.31;0.074;"Decline";26;55;"Ye";"h";"little";100;0;"Insect-pollinated"
"Scrophularia nodosa";0.006;0.035;"Trendless";39;212;"VPR";"l";"abundant";100;0;"Insect-pollinated"
"Sedum acre";0.055;0.024;"Increase";70;124;"Ye";"d";"abundant";83.3333333333333;0;"Insect-pollinated"
"Sedum album";0.068;0.027;"Increase";71;130;"W";"d";"abundant";75;0;"Insect-pollinated"
"Sedum sediforme";0.234;0.032;"Increase";71;90;"Ye";"d";NA;100;0;"Insect-pollinated"
"Senecio inaequidens";-0.073;0.047;"Decline";31;104;"Ye";"h";NA;50;0;"Insect-pollinated"
"Senecio vulgaris";-0.004;0.01;"Trendless";447;2156;"Ye";"h";"abundant";42.8571428571429;0;"Other"
"Setaria italica";0.125;0.045;"Increase";24;109;"Gr";"br";"absence";0;66.6666666666667;"Wind-pollinated"
"Sherardia arvensis";-0.045;0.018;"Decline";218;498;"B";"d";"little";66.6666666666667;0;"Insect-pollinated"
"Silene dioica";-0.031;0.034;"Trendless";58;172;"VPR";"dt";"abundant";100;0;"Insect-pollinated"
"Silene italica";-0.054;0.032;"Decline";84;145;"W";"dt";NA;100;0;"Insect-pollinated"
